"Family Name","Couple Name","Family Phone","Family Email","Family Address","Head Of House Name","Head Of House Phone","Head Of House Email","Spouse Name","Spouse Phone","Spouse Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email"
"Wilcoxen","Wilcoxen, Todd & Anne","336-270-8313","","1698 Briarhill Lane Youngstown, OH 44507 ","Wilcoxen, Todd","","","Wilcoxen, Anne","305-742-6026","","Wilcoxen, Carolyn","","CarolynJSanders@mailinator.com"
"Quinones","Quinones, Jack E & Shera","301-830-9924","","95 Whitetail Lane Dallas, TX 75207 ","Quinones, Jack E","469-327-8784","JackEGarvey@mailinator.com","Quinones, Shera","","SheraARicherson@trashymail.com"
"Cobbins","Cobbins, Allen S & Althea","386-601-0318","EdwardCMitchell@mailinator.com","527 Lunetta Street Sarasota, FL 34236 ","Cobbins, Allen S","","","Cobbins, Althea D","",""
"Evans","Evans, Jere & Ida","","","2535 West Street Grand Rapids, MI 49503 ","Evans, Jere","","","Evans, Ida","",""
"Hickey","Hickey, Jesus & Mindy","240-218-2023","MaryAFigueroa@trashymail.com","4133 Chapmans Lane Albuquerque, NM 87102 ","Hickey, Jesus","505-848-8707","","Hickey, Mindy","",""
"Blackburn","Blackburn, Christopher & Lois","214-328-4874","","4636 Hilltop Drive Littlefield, TX 79339 ","Blackburn, Christopher","806-385-9789","","Blackburn, Lois","",""
"Rojas","Rojas, Charles & Laura","","","1504 Martha Ellen Drive Stateline, NV 89449 ","Rojas, Charles","","","Rojas, Laura","",""
"Wade","Wade, Arthur J & Melissa","520-797-5710","TerranceKBrown@spambob.com","3822 Arbutus Drive Miami, FL 33012 ","Wade, Arthur J","","","Wade, Melissa","",""
"French","French, Harry & Margaret","","HaroldDJohnson@pookmail.com","1679 Edwards Street New Bern, NC 28560 ","French, Harry","252-675-0377","HarryDJohnson@mailinator.com","Topping, Margaret","",""
"Martin","Martin, Ruben & Rosetta","201-804-4284","","2451 Spruce Drive Greensboro, PA 15338 ","Martin, Ruben","724-943-4039","","Martin, Rosetta","","RosettaPLouie@mailinator.com","Martin, Jean","","","Martin, Michael","","","Martin, Russell","661-273-5241","","Martin, Glenn","","GlennMHarris@trashymail.com"
"McCoy","McCoy, Charles","310-893-0829","","4255 Centennial Farm Road Sioux Center, IA 51250 ","McCoy, Charles","","","","",""
"Lee","Lee, Steven & Monique","760-821-3695","GaryHBolduc@mailinator.com","3868 Diamond Cove West Warwick, RI 02893 ","Lee, Steven","","StevenEFlowers@pookmail.com","Lee, Monique","","MoniqueWLopez@dodgit.com"
"Fisher","Fisher, Mark & Jessica","301-924-4941","","4447 Spinnaker Lane Dixon, IL 61021 ","Fisher, Mark","","","Fisher, Jessica","","JessicaGLewis@pookmail.com"
"Summers","Summers, Philip & Vera","","","1923 Roguski Road Bastrop, LA 71220 ","Summers, Philip","","","Summers, Vera","",""
"Bastian","Bastian, Mathew & Michelle","361-602-5903","","4267 Gambler Lane Houston, TX 77002 ","Bastian, Mathew","281-972-8505","MathewMBartels@dodgit.com","Bastian, Michelle","",""
"Christiano","Christiano, Stephen & Kimberly","210-458-5657","","4911 Aspen Court Malden, MA 02148 ","Christiano, Stephen","","","Christiano, Kimberly","",""
"Olvera","Olvera, Richard S","518-648-9092","","3488 Skinner Hollow Road Klamath Falls, OR 97601 ","Olvera, Richard S","","RichardSWynn@dodgit.com","","",""
"Aycock","Aycock, Raymond & Rosa","229-369-9760","","2813 Trails End Road Fort Lauderdale, FL 33301 ","Aycock, Raymond","954-318-4192","","Aycock, Rosa","","","Aycock, Alexandra","912-251-0079","","Aycock, David","919-763-9948",""
"Raiford","Raiford, Glenn & Melissa","","LisaJLeech@pookmail.com","1924 Parkway Drive Nogales, AZ 85621 ","Raiford, Glenn","","GlennKJohnson@dodgit.com","Raiford, Melissa","912-626-2810","","Raiford, Philip","","","Raiford, Mary","","","Raiford, Marjorie","","MarjorieDMonzon@pookmail.com"
"Raymond","Raymond, Jeremy & Crystal","360-873-5208","","2744 Orchard Street Bloomington, MN 55431 ","Raymond, Jeremy","","","Raymond, Crystal","",""
"Hammond","Hammond, Jesse & Brenda","972-222-8342","","3266 Freedom Lane Lodi, CA 95240 ","Hammond, Jesse","","JesseHReeve@spambob.com","Hammond, Brenda","210-734-3240",""
"Wick","Wick, Timothy & Ivy","515-238-1248","","4588 Grim Avenue Chula Vista, CA 92010 ","Wick, Timothy","619-656-8375","","Wick, Ivy","",""
"Long","Long, Clyde & Jessica","414-446-9144","ChristopherTRowe@spambob.com","571 Park Boulevard Liscomb, IA 50148 ","Long, Clyde","","ClydeGGraham@mailinator.com","Long, Jessica","","","Long, Daniel","","DanielFWaldrep@dodgit.com"
"Andino","Andino, Wiley & Margaret","313-637-3816","","214 Star Route Homewood, IL 60430 ","Andino, Wiley","","","Andino, Margaret","","MargaretKLandry@trashymail.com"
"Cassity","Cassity, Jason & Mona","417-838-8982","","1722 Whispering Pines Circle Dallas, TX 75212 ","Cassity, Jason","","","Cassity, Mona","","","Cassity, Dustin","","","Cassity, Francisco","559-333-7843","","Cassity, Barney","","BarneyTPetty@pookmail.com"
"Heller","Heller, Richard & Gladys","862-754-0333","","297 Roane Avenue Fort Washington, MD 20744 ","Heller, Richard","","","Heller, Gladys","",""
"Sines","Sines, Derek & Mary","919-301-9005","RichardLLee@trashymail.com","4345 Fort Street Rocky Mount, NC 27801 ","Sines, Derek","","","Sines, Mary","",""
"Pryor","Pryor, Martin","801-968-1174","","180 Pine Street Portland, PA 97205 ","Pryor, Martin","","","","",""
"Winn","Winn, Richard & Billi","","","1439 Hickory Heights Drive Baltimore, MD 21201 ","Winn, Richard","","","Winn, Billi","",""
"Wellman","Wellman, Derek","409-762-3443","","2312 Prospect Valley Road Los Angeles, CA 90066 ","Wellman, Derek","310-915-9124","","","","","Wellman, Ralph","",""
"Clark","Clark, Nicholas & Helen","562-741-9605","","1960 Spruce Drive Gibsonia, PA 15044 ","Clark, Nicholas","","","Clark, Helen","","HelenEPrince@mailinator.com"
"Hughes","Hughes, Mark T & Janice","","LouisTCollins@mailinator.com","1072 Lauren Drive Madison, WI 53703 ","Hughes, Mark T","","","Hughes, Janice","","JaniceSBrister@dodgit.com","Hughes, Marie B","",""
"Henry","Henry, Bryan & Gladys","","","4765 Little Street Boardman, OH 44512 ","Henry, Bryan","","","Henry, Gladys","785-836-0850","","Henry, David","",""
"Fritsch","Fritsch, Stephen & Dorothy","772-781-1363","CourtneyKDavis@mailinator.com","4911 Aspen Court Malden, MA 02148 ","Fritsch, Stephen","","","Fritsch, Dorothy","336-351-3280","DorothyEHan@mailinator.com","Fritsch, Michael","",""
"Punch","Punch, William & Rhonda","352-288-8166","","1797 Eva Pearl Street Baton Rouge, LA 70802 ","Punch, William","","","Punch, Rhonda","970-506-7254",""
"Campbell","Campbell, Evan E & Laura","309-867-1633","PaulOLogan@dodgit.com","4512 Victoria Court Sanford, ME 04073 ","Campbell, Evan E","","","Campbell, Laura","",""
"Rodriguez","Rodriguez, Gregory & Judy","","","1012 Hall Street Las Vegas, NV 89101 ","Rodriguez, Gregory","","","Rodriguez, Judy","734-981-6244","","Rodriguez, Whitney J","561-556-9046",""
"Gann","Gann, Jerome & Sharon","618-350-7479","","2366 Coffman Alley Russellville, KY 42276 ","Gann, Jerome","270-725-8127","","Gann, Sharon","","","Gann, Norma","","","Gann, Thomas","940-723-3106",""
"Cohen","Cohen, Alvin & Sandra","401-567-2561","","3432 Browning Lane South New Berlin, NY 13843 ","Cohen, Alvin","","","Cohen, Sandra","","","Cohen, Arthur","",""
"Conn","Conn, Thomas & Elaine","931-431-8849","","2412 Camden Place West Nyack, NY 10994 ","Conn, Thomas","845-216-9328","","Conn, Elaine","",""
"Hall","Hall, Scott","719-657-5220","","3233 Fulton Street Parkersburg, WV 26101 ","Hall, Scott","","","","","","Hall, Nicole N","",""
"Loe","Loe, Reggie & Ellie K","937-742-4924","","1242 Edwards Street Rocky Mount, NC 27801 ","Loe, Reggie","","ReggieAHill@dodgit.com","Loe, Ellie K","",""
"Jankowski","Jankowski, Clyde & Natasha","716-478-7521","","571 Park Boulevard Liscomb, IA 50148 ","Jankowski, Clyde","","","Jankowski, Natasha","","","Jankowski, Gertrude","361-570-2069","","Jankowski, David","","","Jankowski, Desiree","","","Jankowski, Joyce","319-437-8972","JoyceLMack@dodgit.com"
"Collard","Collard, Cruz","574-383-6988","TroyARivera@mailinator.com","689 Star Route Bensenville, IL 60106 ","Collard, Cruz","","","","",""
"Tolley","Tolley, Tom","323-206-8733","EricSHannon@dodgit.com","4946 Essex Court Winooski, VT 05404 ","Tolley, Tom","802-367-1866","","","",""
"Rice","Rice, Jessie & Jamie","","","4537 Randall Drive Princeville, HI 96722 ","Rice, Jessie","","","Rice, Jamie","",""
"Hartmann","Hartmann, Ryan & Cynthia","917-259-6377","SadieMBraud@mailinator.com","3399 Joy Lane North Hollywood, CA 91601 ","Hartmann, Ryan","","","Hartmann, Cynthia","",""
"Benedict","Benedict, Richard & Virginia","","AnthonyJDuncan@pookmail.com","503 Richland Avenue Houston, TX 77062 ","Benedict, Richard","","RichardVCaldwell@pookmail.com","Benedict, Virginia","",""
"Collins","Collins, Josh & Annie","570-704-4335","","4192 Linda Street Philadelphia, PA 19108 ","Collins, Josh","","","Collins, Annie","937-778-7802",""
"Lester","Lester, Daron & Leanne","703-559-2904","","2794 Sycamore Fork Road Coral Springs, FL 33065 ","Lester, Daron","","","Lester, Leanne","702-465-0966","LeanneJWeatherly@dodgit.com","Lester, Terrance","","TerranceKBrown@spambob.com","Lester, Willis","","WillisDMcRae@pookmail.com","Lester, Chris","570-281-4270",""
"Dale","Dale, Miles & Michele M","","","3930 Bryan Street Mebane, NC 27302 ","Dale, Miles","","","Dale, Michele","","","Dale, Connie","989-210-1896","","Dale, Elizabeth","","","Dale, Richard","607-275-9394",""
"Reynolds","Reynolds, Lynda","703-255-0563","","1221 Old House Drive Hopedale, OH 43976 ","Reynolds, Lynda","","","","",""
"Graham","Graham, Richard & Muriel P","973-839-1641","","2352 Victoria Street Baton Rouge, LA 70801 ","Graham, Richard","225-266-8829","","Graham, Muriel","","MurielPCunningham@trashymail.com","Graham, John","","","Graham, Kenneth","","KennethBHarris@mailinator.com","Graham, Melissa","563-232-9598","","Graham, Christina","",""
"Flynn","Flynn, Mark & Rita","304-864-6337","YolandaBCortez@dodgit.com","263 Asylum Avenue Birmingham, AL 35203 ","Flynn, Mark","","","Flynn, Rita","707-746-3387","","Flynn, Becky","541-918-2430",""
"Cline","Cline, Jason K & Jennie","","","2050 Broadway Street Charleston, SC 29412 ","Cline, Jason K","","","Cline, Jennie","",""
"Alexander","Alexander, James & Roberta","440-720-4297","","631 Dawson Drive Little Rock, AR 72211 ","Alexander, James","","","Alexander, Roberta","","RobertaKReilley@dodgit.com","Alexander, Christopher","","","Alexander, Kelly","","","Alexander, Sylvia","618-513-7653","","Alexander, Le","","","Alexander, Bambi","",""
"Munguia","Munguia, Bob & Pamela","","","3241 Commerce Boulevard Omaha, NE 68102 ","Munguia, Bob","","","Munguia, Pamela","","","Munguia, Bruce","","","Munguia, Angela","",""
"Rusin","Rusin, Stanton & Aurora","559-446-9478","JuliaACummings@dodgit.com","4714 Prudence Street Detroit, MI 48226 ","Rusin, Stanton","","StantonCDixon@pookmail.com","Rusin, Aurora","407-322-4272","","Rusin, Margaret","","MargaretWTaylor@mailinator.com"
"Holcomb","Holcomb, Bradley & Mary","770-889-7921","MonaRGregory@dodgit.com","539 Fowler Avenue Cumming, GA 30130 ","Holcomb, Bradley","770-205-1519","","Holcomb, Mary","","","Holcomb, Henry","","","Holcomb, Jennifer","","","Holcomb, Mildred","530-507-7072","","Holcomb, Billi","",""
"Morris","Morris, David L & Virginia","801-342-7127","MarshaGWojtowicz@mailinator.com","515 Dovetail Estates Ratliff City, OK 73081 ","Morris, David L","","","Morris, Virginia","","VirginiaBHiggins@mailinator.com"
"Pfeiffer","Pfeiffer, Robert & Vera","","","3669 Michigan Avenue Pittsburgh, PA 15219 ","Pfeiffer, Robert","","","Pfeiffer, Vera","","VeraFColeman@mailinator.com"
"Dutton","Dutton, Vickie","937-598-8823","","4823 Fire Access Road High Point, NC 27260 ","Dutton, Vickie","336-888-7657","","","","","Dutton, Nancy","","","Dutton, Justin","",""
